Age,Gender,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount Percentage,Customer Income Level,Item Price
20,1,3,115.84,41,1,0,1,4.1,1,3,1,1,15,4,0,5.859713028,0,112.2
25,1,0,80.49,34,0,10,0,3.7,1,2,1,1,19,4,3,27.73301005,1,75.66
39,1,0,94.09,16,2,19,2,4.6,1,4,1,1,45,4,6,11.46949954,1,89.85
50,1,1,38.08,41,3,9,0,2.9,1,3,1,1,25,4,0,21.56305711,0,35.55
57,1,1,125.58,4,0,23,2,2.9,1,3,1,1,45,1,5,12.7927769,2,118.9
55,1,0,83.31,25,1,4,3,4.5,1,3,1,1,36,1,6,18.00170053,0,79.39
42,1,1,91.72,27,1,14,2,2.7,1,4,1,1,38,1,4,18.66775698,1,87.96
68,1,1,23.56,29,2,9,1,4.6,1,3,1,1,34,3,1,9.621361388,0,23.3
49,1,1,25.62,19,1,18,1,3.7,1,4,1,1,39,3,1,29.23961569,1,24.09
59,1,1,63.96,44,3,7,3,4.7,1,4,1,1,7,2,5,24.37832058,0,60.87
42,1,1,141.42,1,1,8,2,2.6,1,3,1,1,26,2,6,28.48747354,0,137.98
29,1,1,78.89,23,2,15,3,3.9,1,0,1,1,35,2,6,27.37068376,2,73.35
47,1,3,96.5,30,1,3,2,4.2,1,3,1,1,35,3,1,19.94749947,1,95.76
40,1,3,109.69,39,1,10,3,3.0,1,3,1,1,49,2,0,28.04685588,2,107.95
41,1,0,101.24,23,3,3,2,4.7,1,3,1,1,46,2,6,7.212312551,1,93.67
21,1,3,192.08,47,1,23,2,4.4,1,3,1,1,17,3,3,9.89957156,0,176.68
69,1,1,126.8,24,1,4,2,4.2,1,3,1,1,29,5,4,6.130682223,1,124.48
63,1,0,95.2,17,0,24,1,4.6,1,3,1,1,4,3,6,13.13325827,2,90.33
50,1,1,136.17,11,0,3,2,4.0,1,4,1,1,17,1,6,14.71693224,2,124.97
55,1,0,39.05,42,1,14,3,4.7,1,3,1,1,21,2,2,11.78372579,2,38.62
30,1,2,71.69,23,2,11,1,3.8,1,3,1,1,31,2,3,25.71843773,1,68.75
33,1,0,90.82,2,0,10,3,2.7,1,0,1,1,43,2,6,13.91883317,2,83.62
65,1,2,32.77,0,2,8,0,4.8,1,3,1,1,18,3,3,12.02336274,2,31.18
65,1,0,48.62,29,1,17,1,4.8,1,4,1,1,44,5,2,18.56740208,2,47.57
31,1,1,36.78,37,2,11,3,4.7,1,3,1,1,3,5,2,8.523105624,0,35.58
45,1,3,246.29,6,0,7,3,4.4,1,3,1,1,49,3,4,25.05492452,0,238.58
57,1,0,60.68,43,0,19,2,3.9,1,4,1,1,21,1,2,6.863766092,1,56.69
48,1,0,46.88,41,2,5,2,4.4,1,3,1,1,5,1,6,29.67217342,1,42.73
22,1,0,99.05,0,1,11,0,4.2,1,2,1,1,32,3,2,24.30611923,2,96.62
36,1,1,87.19,45,0,6,2,2.9,1,3,1,1,34,0,0,9.967892038,0,84.64
18,1,1,57.24,9,1,13,3,2.9,1,1,1,1,21,0,2,5.138052928,2,57.03
48,1,1,104.23,10,1,20,1,2.7,1,3,1,1,43,0,1,25.38653571,2,99.24
49,1,0,15.04,13,0,22,1,4.5,1,4,1,1,3,1,4,22.6714336,0,14.63
64,1,0,93.94,43,1,2,2,2.7,1,3,1,1,21,2,0,23.2251792,0,91.74
50,1,0,24.17,7,2,20,2,4.2,1,3,1,1,32,5,4,24.28175867,0,23.04
22,1,1,151.72,7,0,6,2,3.3,1,3,1,1,36,3,3,6.851116293,1,148.13
50,1,1,115.56,26,1,12,1,4.7,1,3,1,1,50,5,3,13.96164321,1,107.38
38,1,3,104.63,14,1,13,3,2.6,1,4,1,1,43,0,2,7.896726488,2,97.53
19,1,2,98.37,31,3,2,2,3.3,1,2,1,1,24,2,2,26.57758565,1,92.52
67,1,2,145.08,45,0,12,2,2.6,1,3,1,1,36,2,2,20.58245317,0,137.7
19,1,1,34.39,9,2,13,1,4.0,1,3,1,1,21,2,2,13.27245062,0,31.74
36,1,1,62.85,42,1,21,2,4.1,1,3,1,1,34,0,6,6.588958757,1,61.7
52,1,3,61.59,2,2,15,1,4.4,1,3,1,1,42,0,2,12.77455804,2,58.16
53,1,0,71.1,30,1,4,3,4.5,1,3,1,1,2,3,1,13.12958305,2,70.98
24,1,1,88.53,27,0,16,1,3.7,1,3,1,1,47,1,1,23.24015446,1,86.57
52,1,2,142.11,34,1,8,0,3.7,1,4,1,1,44,3,3,20.93893678,2,139.68
33,1,1,114.07,49,1,14,0,3.5,1,3,1,1,35,2,4,27.18031856,2,109.82
47,1,3,240.61,4,3,16,0,3.6,1,3,1,1,15,1,5,16.80537313,2,237.35
25,1,0,41.16,39,0,22,2,2.9,1,1,1,1,29,2,4,7.989856148,0,40.7
44,1,0,101.4,39,2,8,3,4.6,1,4,1,1,18,2,2,22.83111968,0,93.22
61,1,3,108.29,42,1,13,3,4.4,1,3,1,1,13,5,2,24.01962622,1,101.59
37,1,1,133.25,8,1,17,0,4.5,1,3,1,1,46,2,6,19.03192994,0,126.24
58,1,1,91.0,27,2,19,1,4.6,1,3,1,1,28,2,6,24.2741795,2,88.85
37,1,2,49.94,24,0,16,0,3.8,1,3,1,1,48,4,4,17.34488991,0,45.83
32,1,0,96.8,7,2,6,1,3.6,1,3,1,1,43,5,2,18.06832073,1,91.04
21,1,2,90.7,45,1,20,3,4.8,1,3,1,1,37,1,0,15.68852546,0,87.64
20,1,1,124.63,31,3,20,1,2.6,1,1,1,1,20,0,0,5.635478169,2,114.37
26,1,1,145.87,24,3,9,2,3.7,1,0,1,1,33,3,5,7.697285675,2,135.32
62,1,0,68.35,40,1,12,0,2.7,1,4,1,1,31,1,3,5.785729642,1,67.78
27,1,3,89.72,33,3,23,1,4.6,1,3,1,1,50,2,1,20.91026028,0,82.33
51,1,1,98.93,35,0,22,3,4.8,1,3,1,1,35,2,5,12.85889953,0,98.84
54,1,2,50.39,47,0,18,3,4.0,1,3,1,1,22,5,1,17.71426728,0,47.25
55,1,0,10.62,28,0,16,1,4.4,1,4,1,1,1,4,4,27.68916185,2,10.46
69,1,0,63.49,31,1,4,0,3.6,1,3,1,1,4,0,0,11.23230573,1,59.39
64,1,3,184.44,22,0,23,2,3.7,1,3,1,1,31,2,4,15.25957308,0,180.39
28,1,2,154.65,19,0,13,3,3.1,1,0,1,1,46,4,3,23.88877846,2,151.07
70,1,1,66.95,25,0,17,1,3.4,1,4,1,1,32,0,1,10.71995414,2,62.3
58,1,1,113.32,0,1,22,1,2.6,1,4,1,1,43,0,3,6.924497746,2,104.45
56,1,0,73.12,31,1,1,2,4.0,1,3,1,1,26,5,3,12.24378632,0,69.19
26,1,0,19.11,20,0,17,2,5.0,1,0,1,1,9,2,0,9.030532181,0,18.43
37,1,0,34.69,8,1,18,1,4.3,1,3,1,1,28,4,1,28.24244131,0,33.87
44,1,0,101.41,29,0,12,3,3.1,1,4,1,1,20,4,5,25.20300949,0,97.57
70,1,3,242.83,20,2,2,2,3.7,1,3,1,1,9,1,6,20.83509391,0,228.41
53,1,1,129.52,49,1,7,1,3.8,1,3,1,1,48,3,2,26.78651475,0,123.33
55,1,2,134.38,45,2,2,1,3.4,1,3,1,1,12,5,0,25.09180192,0,128.07
50,1,2,67.76,40,0,24,2,4.6,1,3,1,1,29,1,3,9.664251472,0,63.19
50,1,1,56.64,16,0,14,0,4.8,1,3,1,1,27,1,1,27.31397496,0,56.5
38,1,3,182.27,49,1,14,0,4.3,1,3,1,1,44,1,0,18.48355605,2,179.09
64,1,0,103.67,47,0,18,2,4.0,1,4,1,1,32,0,0,25.18600388,0,94.64
19,1,1,144.08,45,1,13,3,4.2,1,3,1,1,11,1,3,27.4022825,1,138.93
40,1,0,12.45,46,0,3,1,4.8,1,3,1,1,44,1,3,12.95008687,2,11.39
57,1,1,82.98,17,0,3,0,3.1,1,3,1,1,46,1,6,7.751298113,0,75.66
44,1,1,157.66,27,1,7,1,3.1,1,3,1,1,50,4,0,10.69837906,1,145.27
49,1,1,60.52,4,1,9,3,3.6,1,3,1,1,45,5,2,15.67769472,0,58.28
43,1,1,134.79,23,0,16,1,3.9,1,4,1,1,48,1,2,25.45036915,1,130.65
24,1,1,44.37,23,1,7,3,4.8,1,3,1,1,26,2,6,26.51826458,1,42.03
20,1,0,100.81,4,1,6,1,4.7,1,2,1,1,21,2,3,5.173803263,1,94.25
24,1,1,95.02,37,3,13,2,4.2,1,1,1,1,49,4,1,17.76868256,1,94.11
44,1,0,71.82,16,0,22,0,3.7,1,3,1,1,13,4,3,15.43527508,2,65.35
28,1,1,40.19,18,0,9,2,3.9,1,0,1,1,46,2,6,10.55269526,2,38.21
30,1,0,95.55,30,1,14,0,4.7,1,0,1,1,42,4,6,7.996634183,1,88.96
52,1,1,118.38,25,1,22,3,2.5,1,3,1,1,25,5,0,13.44037929,0,110.61
43,1,0,43.6,42,0,7,0,4.9,1,4,1,1,25,1,4,28.5727426,1,42.35
43,1,2,181.17,15,1,17,0,4.1,1,3,1,1,12,4,5,13.0800733,2,167.59
39,1,1,144.84,39,1,23,3,3.3,1,4,1,1,4,3,5,17.96976554,0,132.72
68,1,2,122.79,5,1,21,1,4.7,1,3,1,1,38,4,6,22.57547397,2,116.93
68,1,1,131.82,9,1,12,3,4.4,1,3,1,1,42,0,6,14.09074006,2,123.78
49,1,3,205.54,8,1,23,0,3.8,1,4,1,1,30,5,0,29.29455207,0,190.39
63,1,1,140.29,32,0,24,0,3.9,1,3,1,1,50,2,6,29.06118237,1,135.7
56,1,0,44.21,45,1,21,0,4.9,1,4,1,1,45,4,6,11.2945574,1,43.8
37,1,3,166.25,26,0,22,0,3.1,1,3,1,1,33,2,3,17.43121265,1,165.66
30,1,3,150.89,24,1,0,0,2.7,1,0,1,1,25,4,5,12.52195775,1,143.12
19,1,2,83.36,29,1,19,0,3.2,1,3,1,1,25,1,4,12.12101236,0,78.71
24,1,0,12.79,24,1,20,0,4.5,1,3,1,1,44,3,5,5.922173684,0,12.75
52,1,1,131.51,5,2,1,0,4.0,1,3,1,1,21,5,3,20.23910835,0,126.94
63,1,2,54.3,11,1,17,2,3.5,1,3,1,1,31,0,3,17.56697558,2,51.6
37,1,0,81.01,49,1,7,0,2.6,1,4,1,1,47,3,0,6.286968781,0,79.3
38,1,1,101.84,7,1,23,2,3.2,1,3,1,1,14,4,4,11.96616161,1,100.98
35,1,2,40.85,4,0,5,0,4.9,1,3,1,1,17,3,2,27.70664715,2,38.79
28,1,0,62.4,33,0,21,0,4.5,1,0,1,1,3,5,0,10.98904727,1,58.66
30,1,1,125.55,39,2,3,2,4.3,1,0,1,1,42,5,0,8.622371802,1,114.39
69,1,1,89.93,32,1,12,3,3.2,1,3,1,1,22,3,0,17.23631901,0,87.12
41,1,1,126.72,35,1,4,0,3.6,1,3,1,1,21,5,5,29.64126135,0,123.37
63,1,1,77.67,18,2,13,1,4.3,1,3,1,1,21,0,5,11.05138179,1,77.07
35,1,1,25.54,24,1,10,0,4.0,1,0,1,1,40,3,0,21.80338869,1,23.3
36,1,0,91.17,44,2,24,0,3.0,1,3,1,1,1,0,3,24.04049038,2,85.24
25,1,1,74.43,6,3,20,0,4.1,1,3,1,1,50,0,4,10.9409386,0,73.16
58,1,0,24.68,28,1,4,0,3.8,1,3,1,1,39,0,2,23.20540872,2,24.08
27,1,0,63.68,42,1,14,2,4.6,1,0,1,1,34,5,4,14.19457832,2,59.43
65,1,0,71.36,33,1,13,0,3.0,1,3,1,1,29,5,3,20.80764576,2,69.42
54,1,0,103.02,4,1,21,2,3.0,1,3,1,1,31,4,1,20.83824277,1,95.94
54,1,1,97.7,45,1,17,2,3.4,1,4,1,1,8,3,6,18.3943671,2,92.07
59,1,0,48.95,7,2,17,1,2.6,1,4,1,1,5,2,3,7.257244251,2,47.76
42,1,0,45.22,16,2,24,3,2.8,1,3,1,1,7,1,4,25.88256239,1,42.04
46,1,2,32.82,7,3,9,0,4.0,1,4,1,1,30,1,4,13.01950162,0,32.45
33,1,0,14.2,3,1,8,0,4.0,1,0,1,1,14,2,2,9.66296276,0,14.14
34,1,2,187.77,17,1,11,2,3.0,1,0,1,1,5,1,3,6.019378539,2,175.43
27,1,3,146.25,27,2,6,2,3.3,1,0,1,1,3,4,2,19.77232358,1,144.83
52,1,1,87.88,49,1,12,0,2.6,1,3,1,1,46,5,1,21.93910905,0,83.91
29,1,1,44.36,45,1,2,2,3.6,1,0,1,1,4,2,6,5.414695723,2,42.52
54,1,0,48.69,26,1,22,2,3.9,1,3,1,1,42,2,1,17.80232646,2,45.87
25,1,0,67.46,10,1,21,0,3.4,1,2,1,1,30,1,0,10.66239438,1,67.16
41,1,2,99.55,44,0,3,3,3.5,1,3,1,1,37,5,0,21.12931976,2,93.68
53,1,3,163.53,35,0,22,0,2.8,1,3,1,1,2,0,0,9.359160725,0,150.63
53,1,0,70.41,28,0,1,1,2.7,1,3,1,1,30,2,5,22.27344345,1,69.28
21,1,1,31.05,15,0,11,0,3.7,1,3,1,1,47,0,4,14.66838366,0,29.17
61,1,1,24.82,11,0,10,0,4.3,1,3,1,1,21,4,5,28.41824972,0,23.45
64,1,2,200.76,12,1,22,0,4.9,1,4,1,1,9,0,3,8.438023604,0,189.84
51,1,2,102.16,40,0,8,0,3.3,1,3,1,1,12,3,3,13.52665878,2,95.99
32,1,1,83.91,20,1,0,2,4.7,1,0,1,1,4,0,6,7.836838031,2,79.57
38,1,0,98.39,0,3,17,2,2.8,1,4,1,1,10,3,0,28.11734046,0,94.73
58,1,1,158.08,34,3,0,1,3.6,1,3,1,1,26,2,6,26.93348383,0,144.95
32,1,2,63.72,10,0,5,1,3.0,1,3,1,1,40,1,3,11.44854069,1,63.28
46,1,1,33.16,48,3,19,2,4.5,1,3,1,1,34,0,3,21.49960115,1,33.1
39,1,0,19.76,22,2,10,2,2.9,1,3,1,1,31,3,0,25.43055501,2,18.5
19,1,2,43.45,9,2,17,1,3.3,1,1,1,1,1,0,1,18.88002029,2,42.1
50,1,1,130.14,3,1,16,1,3.1,1,4,1,1,5,0,1,18.24126446,1,129.83
36,1,1,129.43,47,1,12,0,4.4,1,3,1,1,4,2,6,11.04630727,0,125.88
65,1,3,78.76,13,3,0,0,3.0,1,3,1,1,48,5,5,7.327569195,2,73.63
64,1,0,72.45,43,1,7,0,3.9,1,3,1,1,29,1,2,27.43039395,0,66.6
46,1,2,167.41,26,0,21,2,2.9,1,3,1,1,12,4,1,27.51045143,1,154.96
36,1,0,36.01,33,2,19,0,3.0,1,3,1,1,29,5,0,20.82753643,2,35.38
51,1,0,83.81,24,1,13,1,3.1,1,4,1,1,15,3,5,13.47574478,2,77.56
51,1,3,258.34,31,1,11,0,4.3,1,3,1,1,34,2,4,13.73023937,1,248.1
38,1,2,100.48,46,1,10,2,3.9,1,4,1,1,41,2,3,23.14889197,2,93.24
59,1,0,44.46,39,1,1,0,3.2,1,3,1,1,41,2,4,27.4277565,1,40.67
57,1,0,91.0,43,1,21,3,4.8,1,4,1,1,39,2,3,27.17716061,2,87.26
54,1,0,83.43,11,3,8,2,3.8,1,3,1,1,32,1,6,24.49688865,1,77.58
25,1,1,36.42,37,2,20,2,3.3,1,3,1,1,29,5,4,21.05079115,2,33.41
69,1,1,92.76,24,2,0,0,4.3,1,3,1,1,15,0,0,7.103499125,0,85.68
57,1,0,42.28,26,0,11,1,2.7,1,3,1,1,33,5,0,9.040717852,0,38.8
70,1,0,45.08,13,2,24,0,3.2,1,3,1,1,18,0,6,27.46385471,0,45.03
24,1,2,185.59,2,1,24,0,4.0,1,1,1,1,35,1,1,20.16072649,2,183.91
67,1,1,67.35,10,1,19,3,3.0,1,3,1,1,25,4,6,5.22992629,2,61.51
24,1,1,151.81,48,0,19,2,4.2,1,1,1,1,6,5,3,7.536788572,0,143.58
62,1,0,69.86,38,1,19,2,2.9,1,3,1,1,17,0,1,21.58754423,0,66.87
57,1,1,60.03,48,1,6,1,4.1,1,4,1,1,17,2,4,5.126539596,1,58.12
55,1,2,155.19,22,2,13,3,3.2,1,3,1,1,44,1,2,9.020201285,1,144.33
45,1,3,224.76,44,0,20,0,3.0,1,4,1,1,6,4,3,18.71834473,1,208.32
69,1,1,33.43,40,0,12,0,4.2,1,3,1,1,45,3,3,22.29737994,0,31.86
67,1,0,16.01,45,0,2,0,4.2,1,3,1,1,7,3,0,21.29903149,0,15.18
30,1,0,54.15,27,0,15,0,4.4,1,0,1,1,11,3,2,10.60673274,0,49.74
24,1,3,121.59,10,0,2,2,4.2,1,3,1,1,41,1,2,22.80448053,1,120.18
62,1,0,24.61,29,2,14,1,2.8,1,4,1,1,24,4,1,10.93122719,2,22.87
43,1,1,101.38,20,0,24,1,3.7,1,3,1,1,21,5,6,13.13499245,0,100.37
35,1,0,18.8,35,1,17,3,3.5,1,3,1,1,24,0,0,23.66228513,2,17.57
28,1,1,31.88,4,2,11,1,2.9,1,3,1,1,8,2,5,21.24082248,2,29.46
32,1,0,74.16,27,1,5,1,3.0,1,0,1,1,12,1,3,26.23058526,2,73.56
39,1,2,48.81,2,2,9,1,3.7,1,3,1,1,48,3,3,21.44032231,1,44.42
28,1,0,45.3,32,3,11,2,4.4,1,0,1,1,6,0,5,19.20771508,2,43.68
47,1,0,91.03,31,3,7,1,4.5,1,3,1,1,14,4,3,7.341869196,0,83.15
20,1,1,159.34,49,1,21,1,4.8,1,1,1,1,34,4,0,14.19289508,1,148.18
63,1,1,69.49,40,2,0,2,2.9,1,3,1,1,12,1,2,11.63005919,0,68.91
25,1,3,216.9,3,1,13,1,3.2,1,2,1,1,11,0,0,11.09974108,0,205.43
29,1,2,111.37,42,0,22,1,3.3,1,0,1,1,5,4,4,29.32526387,1,102.12
50,1,1,36.15,38,1,21,3,4.2,1,3,1,1,25,5,3,14.82744312,0,34.46
18,1,1,22.48,28,1,23,1,2.9,1,3,1,1,11,2,0,27.30116388,0,21.48
70,1,2,40.04,34,2,19,1,4.6,1,3,1,1,27,4,2,20.77846565,1,39.57
66,1,0,21.91,43,0,13,0,4.1,1,3,1,1,43,2,0,24.87028259,0,20.58
28,1,1,123.81,41,1,2,1,3.1,1,3,1,1,18,3,2,17.56592733,2,116.99
54,1,0,100.22,10,0,17,3,4.2,1,3,1,1,32,0,1,19.42259712,0,96.6
19,1,1,62.11,2,3,24,0,4.5,1,3,1,1,27,0,2,17.31294235,2,57.14
20,1,0,33.03,40,2,19,2,3.7,1,3,1,1,24,2,6,9.881074695,0,30.12
43,1,0,12.17,29,1,5,3,3.7,1,3,1,1,31,3,5,23.06130288,1,11.09
38,1,3,63.86,33,0,8,3,3.4,1,4,1,1,39,4,3,12.01930906,1,58.63
50,1,1,97.4,14,1,0,2,3.0,1,4,1,1,36,3,3,5.607899161,0,88.6
64,1,1,31.23,34,1,15,0,4.2,1,4,1,1,5,1,0,21.1368074,1,29.59
49,1,1,153.65,44,0,24,2,2.9,1,3,1,1,47,2,1,9.427766985,0,146.01
47,1,1,108.91,25,3,21,3,3.5,1,3,1,1,29,0,3,28.51146461,1,101.82
36,1,1,84.05,7,1,15,3,4.1,1,3,1,1,43,5,1,28.84821443,2,79.09
55,1,3,181.9,31,0,7,2,4.3,1,3,1,1,40,3,2,27.87160976,0,166.86
25,1,0,14.49,16,1,13,3,2.8,1,3,1,1,4,3,4,14.25396751,2,14.09
53,1,0,104.04,36,2,9,1,4.9,1,3,1,1,39,4,6,5.386415413,2,95.54
49,1,2,114.13,38,0,4,2,3.3,1,4,1,1,45,5,3,28.20796406,0,107.46
35,1,0,35.62,27,3,0,1,3.2,1,0,1,1,20,5,1,15.70460371,2,34.96
29,1,1,83.12,25,3,3,1,4.4,1,3,1,1,14,3,6,29.16637048,0,80.28
47,1,0,63.02,37,1,2,3,4.8,1,4,1,1,33,4,6,29.09049943,2,62.53
53,1,0,107.33,1,2,20,0,4.2,1,3,1,1,18,2,0,26.32523639,0,97.7
33,1,1,116.7,23,0,1,0,4.0,1,3,1,1,9,0,6,12.3612223,0,110.76
21,1,0,40.94,49,3,6,3,2.5,1,1,1,1,34,4,0,14.62744322,1,37.86
32,1,1,110.79,7,1,22,2,3.9,1,3,1,1,33,5,3,26.27841679,0,109.02
52,1,2,200.06,35,0,5,3,4.9,1,3,1,1,15,0,1,12.92305013,0,184.86
67,1,0,102.41,13,1,23,3,3.5,1,3,1,1,4,4,1,9.237318667,2,95.48
43,1,0,67.93,19,1,4,1,4.2,1,4,1,1,25,3,0,18.92003156,0,65.21
58,1,0,102.08,40,3,22,1,4.7,1,3,1,1,20,2,2,28.40386935,1,93.95
20,1,0,14.11,47,1,18,2,4.5,1,3,1,1,5,2,5,22.40074492,2,14.07
61,1,0,47.44,0,2,10,1,2.8,1,3,1,1,16,1,5,19.25152925,2,43.88
32,1,1,150.58,17,1,6,0,2.9,1,3,1,1,13,3,0,7.429412344,1,148.35
38,1,0,65.89,25,2,18,3,3.2,1,3,1,1,11,2,2,20.37518067,2,63.47
21,1,1,158.39,4,0,11,3,4.9,1,2,1,1,21,2,0,29.75134625,2,146.09
37,1,1,135.03,10,1,20,2,3.7,1,4,1,1,6,3,0,8.502100381,2,128.98
27,1,1,75.95,14,1,17,2,4.3,1,3,1,1,29,5,4,17.95824131,2,73.93
36,1,1,29.69,5,2,4,0,3.9,1,3,1,1,15,1,0,26.9343268,1,27.33
32,1,0,91.47,21,1,7,1,3.2,1,0,1,1,17,0,1,23.51921544,1,83.16
51,1,0,105.23,17,0,23,2,3.1,1,3,1,1,32,2,6,22.42539352,2,99.7
64,1,1,131.3,19,1,13,1,3.9,1,3,1,1,42,5,0,22.5621021,2,119.97
68,1,2,178.75,9,1,4,1,2.6,1,3,1,1,21,1,4,13.98727878,1,174.44
68,1,1,79.59,9,1,4,3,3.3,1,3,1,1,9,1,1,12.33979611,1,78.57
33,1,1,152.76,33,3,14,0,4.6,1,3,1,1,16,0,0,25.23402889,1,144.03
65,1,0,32.63,19,3,24,2,4.6,1,3,1,1,42,2,3,25.25283487,2,30.58
48,1,0,67.98,36,1,0,2,4.4,1,4,1,1,37,3,1,26.67680796,2,65.63
69,1,3,77.59,33,2,19,1,4.2,1,4,1,1,32,3,5,27.83101381,0,72.71
59,1,0,61.22,19,1,9,1,3.0,1,3,1,1,28,1,1,17.78355997,1,56.83
48,1,0,61.66,45,3,10,3,4.0,1,3,1,1,13,2,6,17.53790737,2,56.81
25,1,1,96.89,40,3,21,0,3.5,1,1,1,1,11,0,3,24.95737947,1,91.75
29,1,1,139.37,9,1,8,3,3.0,1,0,1,1,36,0,1,21.24909827,2,133.96
57,1,1,37.53,10,1,14,1,3.7,1,4,1,1,23,3,0,22.54917193,1,37.42
23,1,2,168.2,3,0,21,2,4.0,1,1,1,1,37,0,4,24.89481674,2,158.37
45,1,2,152.88,25,2,5,0,4.2,1,3,1,1,21,1,1,27.25013355,0,149.69
38,1,0,22.31,35,3,4,1,2.5,1,3,1,1,22,3,1,13.44987892,0,22.27
21,1,1,69.44,22,1,20,2,3.0,1,1,1,1,9,1,4,14.38957382,1,65.58
32,1,1,74.1,25,2,12,0,3.2,1,3,1,1,16,5,0,7.349548496,2,70.99
63,1,1,142.33,34,1,18,2,3.5,1,4,1,1,4,4,5,19.45700352,2,137.54
29,1,0,60.67,16,3,24,2,4.8,1,0,1,1,3,3,1,5.898556845,1,56.26
